Part;TimeStep [s];Steps;DTsMin;PartRuntime [s];NpSave;NpSim;NpNew;NpOut;NctSim;NpAlloc [X];NctAlloc [X];SimRuntime [s];NpbSim;NpfSim;NpNormal;NpOutPos;NpOutRho;NpOutMov;DtMin [s];DtMax [s];MemCPU [MiB];MemGPU [MiB];MemGPU_Cells [MiB];NpAlloc;NctAlloc
0;0;0;0;0.000000;105,465;105,465;0;0;1,625;1.001214;9.600000;0.000000;37,551;67,914;105,465;0;0;0;0;0;9.107065;13.765312;0.238075;105,593;15,600
1;0.2000480167478765;1,418;0;2.300437;105,465;105,465;0;0;1,625;1.001214;9.600000;2.300437;37,551;67,914;105,465;0;0;0;0.0001404435504127284;0.0001425292682883351;9.107065;19.001781;0.238075;105,593;15,600
2;0.400007182300215;1,420;0;2.249774;105,465;105,465;0;0;1,625;1.001214;9.600000;4.553146;37,551;67,914;105,465;0;0;0;0.0001402852232715292;0.0001413340022947303;9.107065;19.001781;0.238075;105,593;15,600
0;0;0;0;0.000000;105,465;105,465;0;0;1,625;1.001214;9.600000;0.000000;37,551;67,914;105,465;0;0;0;0;0;9.107065;13.765312;0.238075;105,593;15,600
3;0.6000213651702919;1,425;0;5.675049;105,465;105,465;0;0;1,625;1.001214;9.600000;10.233898;37,551;67,914;105,465;0;0;0;0.0001394076356088613;0.0001409946018193274;9.107065;19.001781;0.238075;105,593;15,600
1;0.2000480167478765;1,418;0;7.418938;105,465;105,465;0;0;1,625;1.001214;9.600000;7.418938;37,551;67,914;105,465;0;0;0;0.0001404435504127284;0.0001425292682883351;9.107065;19.001781;0.238075;105,593;15,600
4;0.8000378940036721;1,424;0;7.470884;105,465;105,465;0;0;1,625;1.001214;9.600000;17.708116;37,551;67,914;105,465;0;0;0;0.0001396102548217405;0.000141109713912526;9.107065;19.001781;0.238075;105,593;15,600
2;0.400007182300215;1,420;0;7.433127;105,465;105,465;0;0;1,625;1.001214;9.600000;14.855820;37,551;67,914;105,465;0;0;0;0.0001402852232715292;0.0001413340022947303;9.107065;19.001781;0.238075;105,593;15,600
5;1.000096875731964;1,432;0;7.476453;105,465;105,465;0;0;1,625;1.001214;9.600000;25.186633;37,551;67,914;105,465;0;0;0;0.0001387960951701019;0.0001410427220432957;9.107065;19.001781;0.238075;105,593;15,600
3;0.6000213651702919;1,425;0;7.443768;105,465;105,465;0;0;1,625;1.001214;9.600000;22.301999;37,551;67,914;105,465;0;0;0;0.0001394076356088613;0.0001409946018193274;9.107065;19.001781;0.238075;105,593;15,600
6;1.200064187209632;1,433;0;7.498327;105,465;105,465;0;0;1,625;1.001214;9.600000;32.686617;37,551;67,914;105,465;0;0;0;0.000138831595125717;0.0001403830036161218;9.107065;19.001781;0.238075;105,593;15,600
4;0.8000378940036721;1,424;0;7.469885;105,465;105,465;0;0;1,625;1.001214;9.600000;29.773929;37,551;67,914;105,465;0;0;0;0.0001396102548217405;0.000141109713912526;9.107065;19.001781;0.238075;105,593;15,600
7;1.400007965169293;1,433;0;7.525022;105,465;105,465;0;0;1,625;1.001214;9.600000;40.213333;37,551;67,914;105,465;0;0;0;0.0001382570380139555;0.0001404523712781305;9.107065;19.001781;0.238075;105,593;15,600
5;1.000096875731964;1,432;0;7.520498;105,465;105,465;0;0;1,625;1.001214;9.600000;37.296996;37,551;67,914;105,465;0;0;0;0.0001387960951701019;0.0001410427220432957;9.107065;19.001781;0.238075;105,593;15,600
8;1.6000628941833;1,435;0;7.546678;105,465;105,465;0;0;1,690;1.001214;9.230769;47.761783;37,551;67,914;105,465;0;0;0;0.000138154039781717;0.0001405226076873534;9.107065;19.001781;0.238075;105,593;15,600
6;1.200064187209632;1,433;0;7.533376;105,465;105,465;0;0;1,625;1.001214;9.600000;44.832523;37,551;67,914;105,465;0;0;0;0.000138831595125717;0.0001403830036161218;9.107065;19.001781;0.238075;105,593;15,600
