time [s];swlx [m];swly [m];swlz [m];pos0x [m];pos0y [m];pos0z [m];pos2x [m];pos2y [m];pos2z [m]
0.000000;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.010076;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.020032;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.030050;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.040042;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.050090;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.060044;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.070023;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.080118;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.090062;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.100069;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.110003;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.120024;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.130091;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.140006;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.150033;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.160022;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.170023;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.180058;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.190117;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.200078;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.210069;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.220038;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.230118;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.240071;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.250066;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.260032;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.270074;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.280062;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.290055;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.300022;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.310100;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.320098;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.330030;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.340083;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.350104;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.360051;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.370011;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.380117;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.390022;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.400057;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.410084;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.420103;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.430008;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.440007;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.450070;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.460026;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.470044;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.480031;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.490053;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.500040;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.510041;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.520029;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.530118;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.540030;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.550023;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.560064;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.570093;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.580109;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.590087;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.600010;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.610051;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.620042;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.630063;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.640094;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.650050;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.660050;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.670096;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.680040;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.690037;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.700103;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.710059;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.720030;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.730082;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.740063;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.750095;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.760080;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.770042;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.780062;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.790033;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.800037;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.810011;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.820082;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.830028;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.840074;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.850038;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.860047;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.870053;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.880093;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.890049;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.900040;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.910014;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.920030;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.930093;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.940115;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.950023;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.960044;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.970079;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.980087;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.990017;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.000006;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.010016;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.020090;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.030066;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.040096;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.050052;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.060032;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.070071;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.080039;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.090005;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.100052;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.110016;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.120071;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.130014;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.140105;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.150040;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.160009;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.170006;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.180100;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.190010;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.200034;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.210111;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.220083;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.230053;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.240063;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.250082;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.260048;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.270065;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.280002;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.290063;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.300109;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.310004;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.320033;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.330041;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.340107;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.350063;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.360058;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.370086;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.380085;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.390015;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.400022;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.410068;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.420066;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.430035;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.440115;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.450098;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.460071;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.470019;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.480033;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.490083;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.500081;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.510039;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.520037;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.530091;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.540105;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.550048;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.560098;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.570017;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.580087;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.590082;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.600023;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.610016;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.620019;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.630047;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.640024;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.650072;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.660012;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.670040;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.680032;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.690108;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.700040;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.710068;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.720071;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.730097;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.740056;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
