time [s];swlx [m];swly [m];swlz [m];pos0x [m];pos0y [m];pos0z [m];pos2x [m];pos2y [m];pos2z [m]
0.000000;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.010079;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.020044;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.030012;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.040100;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.050081;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.060077;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.070070;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.080069;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.090072;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.100079;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.110077;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.120070;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.130051;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.140041;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.150033;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.160011;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.170120;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.180104;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.190081;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.200063;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.210045;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.220020;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.230117;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.240089;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.250055;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.260024;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.270108;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.280054;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.290004;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.300080;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.310012;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.320038;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.330021;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.340064;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.350036;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.360062;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.370110;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.380058;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.390001;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.400051;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.410080;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.420005;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.430070;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.440113;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.450016;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.460060;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.470111;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.480041;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.490062;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.500059;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.510057;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.520017;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.530010;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.540056;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.550078;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.560051;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.570043;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.580046;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.590001;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.600109;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.610016;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.620052;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.630092;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.640009;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.650034;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.660006;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.670108;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.680116;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.690034;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.700062;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.710063;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.720078;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.730094;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.740072;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.750046;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.760001;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.770105;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.780032;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.790096;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.800026;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.810088;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.820012;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.830041;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.840089;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.850016;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.860051;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.870085;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.880041;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.890087;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.900043;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.910034;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.920014;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.930096;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.940020;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.950079;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.960085;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.970025;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.980078;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
0.990111;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.000050;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.010025;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.020095;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.030022;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.040069;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.050098;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.060078;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.070047;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.080019;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.090002;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.100082;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.110039;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.120010;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.130027;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.140017;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.150066;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.160012;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.170084;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.180014;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.190093;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.200011;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.210090;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.220117;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.230018;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.240021;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.250102;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.260045;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.270091;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.280012;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.290002;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.300011;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.310001;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
